Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1A,Chrome 116.0.0.0,,,2023-08-24 21:41:44,2023-08-24 21:43:39,1m - 54.438s,ERROR
,,,,,,,
Test Cases/01 A/01_Basic_Auth,Chrome 116.0.0.0,,,2023-08-24 21:41:44,2023-08-24 21:41:55,10.217s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-24 21:41:45,2023-08-24 21:41:46,1.903s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-24 21:41:46,2023-08-24 21:41:47,0.139s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 116.0.0.0,,,2023-08-24 21:41:47,2023-08-24 21:41:50,3.236s,PASSED
"click(findTestObject(""Object Repository/Page_The Internet/a_Basic Auth""))",Chrome 116.0.0.0,,,2023-08-24 21:41:50,2023-08-24 21:41:51,0.796s,PASSED
"authenticate(""https://the-internet.herokuapp.com/basic_auth"", ""admin"", ""admin"", 10)",Chrome 116.0.0.0,,,2023-08-24 21:41:51,2023-08-24 21:41:51,0.660s,PASSED
delay(2),Chrome 116.0.0.0,,,2023-08-24 21:41:51,2023-08-24 21:41:53,2.027s,PASSED
"verifyTextPresent(""Basic Auth"", true)",Chrome 116.0.0.0,,,2023-08-24 21:41:53,2023-08-24 21:41:54,0.313s,PASSED
"verifyTextPresent(""Congratulations! You must have the proper credentials."", true)",Chrome 116.0.0.0,,,2023-08-24 21:41:54,2023-08-24 21:41:54,0.272s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-24 21:41:54,2023-08-24 21:41:55,0.622s,PASSED
,,,,,,,
Test Cases/01 A/02_AB_Testing,Chrome 116.0.0.0,,,2023-08-24 21:41:55,2023-08-24 21:42:27,32.540s,FAILED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-24 21:41:55,2023-08-24 21:41:56,1.069s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-24 21:41:56,2023-08-24 21:41:56,0.126s,PASSED
"click(findTestObject(""Object Repository/Page_The Internet/a_AB Testing""))",Chrome 116.0.0.0,,,2023-08-24 21:41:56,2023-08-24 21:42:27,31.157s,FAILED
,,,,,,,
Test Cases/01 A/03_BrokenImages,Chrome 116.0.0.0,,,2023-08-24 21:42:27,2023-08-24 21:42:33,6.155s,ERROR
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-24 21:42:27,2023-08-24 21:42:29,1.675s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-24 21:42:29,2023-08-24 21:42:29,0.124s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 116.0.0.0,,,2023-08-24 21:42:29,2023-08-24 21:42:32,3.071s,PASSED
"click(findTestObject(""Object Repository/Page_The Internet/a_Broken Images""))",Chrome 116.0.0.0,,,2023-08-24 21:42:32,2023-08-24 21:42:33,1.023s,PASSED
