Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1A,Chrome 116.0.0.0,,,2023-08-24 21:48:17,2023-08-24 21:50:14,1m - 57.260s,ERROR
,,,,,,,
Test Cases/01 A/01_Basic_Auth,Chrome 116.0.0.0,,,2023-08-24 21:48:17,2023-08-24 21:48:27,10.387s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-24 21:48:17,2023-08-24 21:48:19,2.032s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-24 21:48:19,2023-08-24 21:48:19,0.166s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 116.0.0.0,,,2023-08-24 21:48:19,2023-08-24 21:48:23,3.258s,PASSED
"click(findTestObject(""Object Repository/Page_The Internet/a_Basic Auth""))",Chrome 116.0.0.0,,,2023-08-24 21:48:23,2023-08-24 21:48:23,0.779s,PASSED
"authenticate(""https://the-internet.herokuapp.com/basic_auth"", ""admin"", ""admin"", 10)",Chrome 116.0.0.0,,,2023-08-24 21:48:23,2023-08-24 21:48:24,0.630s,PASSED
delay(2),Chrome 116.0.0.0,,,2023-08-24 21:48:24,2023-08-24 21:48:26,2.030s,PASSED
"verifyTextPresent(""Basic Auth"", true)",Chrome 116.0.0.0,,,2023-08-24 21:48:26,2023-08-24 21:48:26,0.301s,PASSED
"verifyTextPresent(""Congratulations! You must have the proper credentials."", true)",Chrome 116.0.0.0,,,2023-08-24 21:48:26,2023-08-24 21:48:27,0.273s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-24 21:48:27,2023-08-24 21:48:27,0.620s,PASSED
,,,,,,,
Test Cases/01 A/02_AB_Testing,Chrome 116.0.0.0,,,2023-08-24 21:48:27,2023-08-24 21:49:00,32.606s,FAILED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-24 21:48:27,2023-08-24 21:48:29,1.071s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-24 21:48:29,2023-08-24 21:48:29,0.128s,PASSED
"click(findTestObject(""Object Repository/Page_The Internet/a_AB Testing""))",Chrome 116.0.0.0,,,2023-08-24 21:48:29,2023-08-24 21:49:00,31.212s,FAILED
,,,,,,,
Test Cases/01 A/03_BrokenImages,Chrome 116.0.0.0,,,2023-08-24 21:49:00,2023-08-24 21:49:06,6.409s,ERROR
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-24 21:49:00,2023-08-24 21:49:02,1.742s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-24 21:49:02,2023-08-24 21:49:02,0.125s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 116.0.0.0,,,2023-08-24 21:49:02,2023-08-24 21:49:05,3.151s,PASSED
"click(findTestObject(""Object Repository/Page_The Internet/a_Broken Images""))",Chrome 116.0.0.0,,,2023-08-24 21:49:05,2023-08-24 21:49:06,1.045s,PASSED
"image = ""Object Repository/Page_The Internet/img""",Chrome 116.0.0.0,,,2023-08-24 21:49:06,2023-08-24 21:49:06,0.000s,PASSED
verifyImagePresent(image),Chrome 116.0.0.0,,,2023-08-24 21:49:06,2023-08-24 21:49:06,0.074s,ERROR
,,,,,,,
Test Cases/01 A/04_Checkbox,Chrome 116.0.0.0,,,2023-08-24 21:49:06,2023-08-24 21:49:14,7.702s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-24 21:49:07,2023-08-24 21:49:08,1.693s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-24 21:49:08,2023-08-24 21:49:08,0.124s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 116.0.0.0,,,2023-08-24 21:49:08,2023-08-24 21:49:11,3.124s,PASSED
"click(findTestObject(""Object Repository/Page_The Internet/a_Checkboxes""))",Chrome 116.0.0.0,,,2023-08-24 21:49:11,2023-08-24 21:49:12,0.779s,PASSED
"click(findTestObject(""Object Repository/Page_The Internet/input_checkbox1""))",Chrome 116.0.0.0,,,2023-08-24 21:49:12,2023-08-24 21:49:13,0.336s,PASSED
"verifyElementChecked(findTestObject(""Object Repository/Page_The Internet/input_checkbox1""), 10)",Chrome 116.0.0.0,,,2023-08-24 21:49:13,2023-08-24 21:49:13,0.529s,PASSED
"verifyElementChecked(findTestObject(""Object Repository/Page_The Internet/input_checkbox2""), 10)",Chrome 116.0.0.0,,,2023-08-24 21:49:13,2023-08-24 21:49:13,0.313s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-24 21:49:13,2023-08-24 21:49:14,0.592s,PASSED
,,,,,,,
Test Cases/01 A/05_drag_and_drop,Chrome 116.0.0.0,,,2023-08-24 21:49:14,2023-08-24 21:49:28,14.256s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-24 21:49:14,2023-08-24 21:49:15,1.127s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-24 21:49:15,2023-08-24 21:49:15,0.124s,PASSED
"navigateToUrl(""https://the-internet.herokuapp.com/"")",Chrome 116.0.0.0,,,2023-08-24 21:49:15,2023-08-24 21:49:19,3.180s,PASSED
"click(findTestObject(""Object Repository/Drag_And_Drop/a_Drag and Drop""))",Chrome 116.0.0.0,,,2023-08-24 21:49:19,2023-08-24 21:49:19,0.871s,PASSED
delay(4),Chrome 116.0.0.0,,,2023-08-24 21:49:19,2023-08-24 21:49:24,4.014s,PASSED
"ObjectA = ""Object Repository/Drag_And_Drop/div_A""",Chrome 116.0.0.0,,,2023-08-24 21:49:24,2023-08-24 21:49:24,0.000s,PASSED
"ObjectB = ""Object Repository/Drag_And_Drop/div_B""",Chrome 116.0.0.0,,,2023-08-24 21:49:24,2023-08-24 21:49:24,0.001s,PASSED
"dragAndDropToObject(findTestObject(ObjectB), findTestObject(ObjectA))",Chrome 116.0.0.0,,,2023-08-24 21:49:24,2023-08-24 21:49:25,1.527s,PASSED
delay(2),Chrome 116.0.0.0,,,2023-08-24 21:49:25,2023-08-24 21:49:27,2.007s,PASSED
takeFullPageScreenshot(),Chrome 116.0.0.0,,,2023-08-24 21:49:27,2023-08-24 21:49:28,0.588s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-24 21:49:28,2023-08-24 21:49:28,0.627s,PASSED
,,,,,,,
Test Cases/01 A/06_drop_down,Chrome 116.0.0.0,,,2023-08-24 21:49:28,2023-08-24 21:49:35,6.446s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-24 21:49:28,2023-08-24 21:49:30,1.071s,PASSED
